stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
ND,5.5,3808349.380510962,38.0,2013.0,260.85955178591183,255.2246825,244.62423708333333,260.2535304226699,250.4296934722222,260.46597525855896,265.20253615176574,15.761090125,22.49504967555556,18.79082279027778,0.5703720646688736
NE,5.5,3137788.6544707604,31.0,2013.0,259.23503872378757,266.19275527777774,242.92374432539683,259.0097734308313,244.71814106060606,259.9909975265965,262.54497249576593,-1.3443556989722225,23.163523493650796,17.205738779549037,0.8448434076832904
NH,5.5,3304105.4809523933,33.0,2013.0,269.79249929643004,270.4591116666666,244.47661694444446,269.6283519326507,249.53898069444446,268.7863788786885,269.9945465017815,-4.040156167222222,20.79042385,16.58463133472222,-0.7775806217210687
NJ,5.5,3409518.7133387695,34.0,2013.0,266.69326472236645,293.5382570783427,247.1619208562673,266.765799755605,253.99959282444252,267.37087725111513,270.57092032132635,-20.132855672381147,18.907670844147454,13.424113423928619,0.7571424439682328
NM,5.5,3501364.6332349232,35.0,2013.0,244.44566053044846,275.0448515277778,242.49018162698414,245.9912619760697,242.8894920417841,243.77643402600097,257.63444537720494,-10.780771331944443,19.257991456349206,12.906680257035314,-2.2233480375318777
NV,5.5,3200282.3333333335,32.0,2013.0,247.77182644444443,266.9283525,237.76448416666668,248.25182317765567,243.2407119520202,247.51704673992677,252.38096214285716,-3.9105593424999996,25.25330866666667,11.498839144449496,-1.1658175797756412
NY,5.5,3616624.488779863,36.0,2013.0,255.95520829812676,279.52388890751644,240.1151480729885,256.6544310855663,247.23727641349637,256.48075348843764,257.95152488227643,-12.23382039073766,17.821052484152023,14.406494599484946,-0.14342141197713879
OH,5.5,3904989.3550450504,39.0,2013.0,263.4250318152043,286.24665071416234,243.59087397201225,263.7873203512872,250.11643954789915,263.2239758281531,265.2934767129745,-11.088126057596371,20.96452037822109,13.64242355794976,-0.4634016420376617
OK,5.0,4017681.7649613046,40.0,2013.0,246.36152159108104,262.54675919126987,228.30282008185722,246.2362417402942,233.5735766211645,247.49867066409828,249.41907275841783,-5.392017786447619,14.792358015176768,9.39672041705113,1.3931774939208377
OR,5.5,4106797.440185355,41.0,2013.0,250.70470765727342,270.3104072442227,236.80523814814816,250.88774187565642,241.35193827339296,251.62394710686974,254.04241520464402,-7.142986645857843,23.317381598484847,15.874633300036052,0.6624486508468674
PA,5.5,4214617.338390378,42.0,2013.0,262.20619697342426,288.59669094879797,244.78291397640825,262.48253759310484,248.88167238137456,262.18099288927857,264.3052253920215,-15.207020858724507,18.82443437567647,16.745154929537946,-0.3141939196611844
RI,5.5,4400609.403594771,44.0,2013.0,262.8831739809863,259.80592277777777,240.16601374999996,262.95474834725934,243.35232153846155,262.15955203440654,266.06829098401295,-2.1675654018055557,14.89688172779762,13.195286145112945,-0.5755227685919732
SC,5.5,4502354.056518758,45.0,2013.0,247.38936155744327,279.2045560347986,236.57701127484765,248.73201800679394,247.65210789938706,246.04611583032215,258.00821739778894,-12.44108000929487,20.208080628037454,13.90441569398314,-2.636195517855841
SD,5.5,4637803.54651098,46.0,2013.0,257.883159429679,239.05449277777777,237.91059666666663,258.2729444795787,242.8723188888889,256.642600130905,262.24900199279335,25.626736858333334,28.838976666666667,18.32940073888889,-1.0482703289555497
TN,5.5,4702328.586113828,47.0,2013.0,253.3389749935327,277.60465629428904,242.33177311483158,254.75161432845246,248.21271315029867,252.00328530785927,255.60400147580376,-13.435719534360915,17.278280454232917,9.988123678347703,-2.662027539793502
TX,4.5,4826538.0391967725,48.0,2013.0,244.95351798622994,269.9882360371813,234.08806013721625,245.2606662280527,240.63284671348325,245.0434524123608,251.24235493660558,-11.65372162615121,18.186823405036222,10.202719855313632,-0.15069065734906126
UT,5.0,4900605.722820513,49.0,2013.0,252.72510248846157,250.33183921212117,232.24232698333336,252.31690671163264,235.83916513128207,253.5788240021337,257.01930056315786,9.641921083818183,25.714780034777778,21.494405760288466,1.3172655618448945
VA,3.5,5102122.687022901,51.0,2013.0,236.34975561068694,253.61509840833338,225.46756793103447,236.30473204680976,233.50469286057694,236.57538379785788,241.79068830708658,-4.982743299125,17.94856465975904,11.957776936169875,0.13411671437154782
VT,5.5,5006388.24107339,50.0,2013.0,264.36013104351315,247.49177799999998,234.94985666666665,265.60282224761187,,264.0998516815177,265.07673562569147,21.212252799999998,36.656479166666664,,-1.5031339106151786
WA,5.5,5305072.917037816,53.0,2013.0,257.15554334922774,275.0805885198799,246.41456862378655,258.9167594228372,248.1733474827585,257.0771078807575,262.34401701860196,-6.127570338296422,21.949785004905028,16.05340601970462,-1.4975802308838393
WI,5.5,5508403.926256731,55.0,2013.0,262.21640643443743,267.3667943555008,241.59738464403472,262.52739181747205,248.75941977649333,263.4372894216442,264.21880522218356,2.739194693620266,27.83716310524022,18.114065459770114,1.1226063923659957
WV,5.5,5400839.614772727,54.0,2013.0,248.9622268997715,287.9913580555555,240.09518798798422,249.87355260454652,246.40611222222228,248.30113336812573,249.2577406783109,-31.132669000000003,11.940695476357531,7.774410280555554,-1.4837557623791227
