stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
NV,5.5,3200282.3333333335,32.0,2013.0,229.41908966666665,243.86741000000004,217.13129916666665,233.82584869963367,221.24613667424242,224.4270374542124,235.50570588705736,1.9723510425000004,28.70846308333333,16.738936347257578,-9.616458355929487
NY,5.5,3616606.9210814,36.0,2013.0,241.14460431462044,265.590875838786,225.16322922653706,246.65935256113923,232.31353213069906,237.21334767657484,243.3354708784162,-9.743725747790949,19.223004121198507,16.1863910231398,-9.409519825518881
OH,5.5,3904989.511087473,39.0,2013.0,242.13691787691948,258.3194471628938,222.04161658319563,246.32541317393793,226.66229414111706,238.32836506726588,243.96884069878888,-4.683625273842722,20.587572499493298,15.167956541232792,-7.91041352123256
OK,5.5,4017680.9953300287,40.0,2013.0,232.34865355996092,242.37143884523812,211.9810744476852,236.42837090721875,215.86651127447794,230.08176637103531,236.53594407121037,0.958944926193122,19.811268264886365,16.064781469940016,-6.18787873939178
OR,5.5,4106797.6187567837,41.0,2013.0,232.54151757728542,238.71650114835165,216.5380620382996,235.50326325605673,217.5787225884088,229.885142528545,237.0506579775705,5.384240420329426,25.84899569685606,22.228317556773145,-5.561919270131572
PA,5.5,4214619.220295032,42.0,2013.0,244.2004072492285,268.1854763302057,226.73159439400987,249.7440307639542,229.64983997530797,239.3203063253999,246.5206064087372,-9.416896337319661,19.056418170507484,18.59253678039298,-10.510640039618707
RI,5.5,4400609.403594771,44.0,2013.0,244.33579996137846,239.50126888888886,224.55168979166663,250.6619686717088,224.29642122100122,237.44270666035354,247.40115751606132,-0.505741700138889,12.120468955065476,14.294233895285545,-13.07420541531033
SC,5.5,4502355.194852559,45.0,2013.0,224.65845267671435,254.39153637515264,211.32882422252192,229.230017732021,221.76283114122532,220.48204494179086,238.47179860360907,-5.322888541388889,26.244800175683505,20.96288319594202,-8.587331751205275
SD,5.5,4637807.05993452,46.0,2013.0,234.77767820709187,176.8087,213.89477999999997,237.88303431532768,220.01576916666667,231.7106973377025,239.90355452588878,52.722145000000005,32.34821316666666,20.580139713888887,-5.775367035194709
TN,5.5,4702328.586113828,47.0,2013.0,235.29720177869763,255.82086094509194,222.36918659640526,240.11031885784834,226.12672918100807,230.7062838833302,238.39450221131096,-6.22038247545316,20.14575142021704,16.579512909303748,-9.358901610040295
TX,5.5,4826527.104288015,48.0,2013.0,231.30393007838674,253.74833468143694,219.95178309683902,233.94917064270172,222.9226054020074,228.51778815352682,240.6573221706641,-4.440008905557221,21.756779582916067,16.853012997922516,-5.471935263066523
UT,5.5,4900607.110683761,49.0,2013.0,239.93639835470086,233.18078429797978,217.82642095304232,244.44381765153312,219.77306758824793,236.13662943259047,244.9954483245614,12.529180521919193,26.486262816462958,25.308927551581196,-8.455945496571822
VA,5.5,5102117.432762742,51.0,2013.0,237.9657325974439,253.47830897365577,223.32895296979348,241.63176518085598,231.60664958828508,234.58846120177986,245.3667927321194,-0.12045357646448174,23.516977720903096,18.085473667698217,-7.056233556195759
VT,5.5,5006379.394625228,50.0,2013.0,244.58768313185314,,216.13213166666665,251.58675973233576,,238.7049014963776,245.08505334197434,,35.835754333333334,,-13.199494835793596
WA,5.5,5305088.477793802,53.0,2013.0,237.1198884176175,251.64483580909666,227.90307425465662,243.3395942315633,226.09100334625364,232.46419261594818,243.53532124500245,-1.6398839306641115,21.383983064845342,19.154272348547607,-10.435967801291081
WI,5.5,5508408.917285043,55.0,2013.0,240.48626772226933,237.06714800293977,219.69420491065026,244.12827405564568,221.391601403614,237.92431688847623,242.82489469823406,10.253241101502413,27.152654108894946,22.733404300448157,-5.961197188507107
WV,5.5,5400838.094907408,54.0,2013.0,227.07868679453267,264.3216888888889,220.02000035797536,235.184748657688,225.65930527777778,219.501114315376,227.33905602443085,-28.860043022222225,11.146666505109613,10.513260291388889,-15.700881880298539
WY,5.5,5603535.623648026,56.0,2013.0,241.8583211550849,224.46582999999998,223.03156666666663,246.25345609482977,229.29441874242423,238.61146430767425,245.814573008778,-5.140205400000001,19.519692975,15.03060085969697,-7.5106556359927765
