,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
151,6,AR,506819.8553191489,5.0,2013.0,257.21213195744673,275.6475678167754,239.26498922382473,258.4581981255422,245.63954543395676,255.94455570285388,261.34540811551096,-10.874066662969208,20.52639282714892,13.884739422145646,-2.157763804778232
152,6,AZ,404879.7042253521,4.0,2013.0,253.96928169014078,276.3774191089505,240.59244666720758,257.7225940060895,249.48592582010116,253.76078012748175,262.64158349998706,-10.98527471442877,19.996756831485236,12.843293527459855,-3.6910742322458074
153,6,CA,621609.0363128491,6.0,2013.0,253.02004645251412,275.8252918237321,239.60319640037827,253.9485020502701,244.72000852356985,253.79468510835463,261.137795564673,-11.3002474779551,20.15175778962047,15.061559377578028,0.04527728983486828
154,6,CO,804522.616,8.0,2013.0,263.6609458400001,276.4881057957877,240.40030105026358,262.67445547346824,248.5618696421797,260.58005830067714,268.69501325716084,-10.158162869644016,20.869796455847663,15.308663306794386,-1.306513053483156
155,6,CT,902696.6666666666,9.0,2013.0,268.6837269230771,278.1085149376152,239.45978232967528,267.4173911295212,245.67005787304072,267.215742198271,271.70645660015884,-11.630533442405653,20.93455626012474,15.577517534078511,-0.4316549822158875
156,6,DC,1100030.0,11.0,2013.0,246.39999,277.69656000000003,240.7771,250.13582999999997,250.86603,242.63065,293.50772,15.811157000000001,52.730621,42.641693,-7.505188
157,6,DE,1000763.75,10.0,2013.0,262.099414375,283.85083243734226,248.05607706671464,261.603059375,255.10480882345703,261.85848317887616,269.64123125,-15.561518277711315,20.401178735521388,12.73566070862887,1.4013070036226447
158,6,FL,1201063.6376811594,12.0,2013.0,259.5581481159421,280.52793554621934,241.33564068816744,259.83602529627876,251.27245735704713,259.3793679960006,263.9634887545206,-14.099279406616496,21.87672721362627,11.966334521805782,-0.5616948687692086
159,6,GA,1302867.3651685393,13.0,2013.0,254.62336179775278,276.6151985301165,242.40781060762862,256.5292228495291,249.27360514850974,253.40979406431495,263.10809543550755,-11.023333308521071,19.995265394580887,12.619014849999532,-3.0916731375012687
160,6,HI,1500030.0,15.0,2013.0,261.54999,261.07172,251.72285,264.02402,256.35638,259.08272999999997,268.81552,7.7438049,17.092667000000002,12.459137,-4.9412842
161,6,IA,1916583.2323232323,19.0,2013.0,264.8816738047138,275.99836530783875,238.92329400028277,261.99691599290026,245.29794276653664,263.7855588372102,265.8288337523136,-10.780134696250341,20.651384031787487,13.979482754321632,1.2077924428415123
162,6,ID,1601683.8352941177,16.0,2013.0,260.47529211764726,275.30616767035025,238.88758825328952,259.40189344158836,245.65920795133442,260.9166165354865,264.0559573259759,-10.573279424082918,20.321929470636,15.208442965353088,1.336910265614217
163,6,IL,1721535.7085798816,17.0,2013.0,261.599287071006,276.9706343277316,239.245583838487,261.70512869845464,246.5022609421131,260.32528301111074,264.8500081530111,-10.993756353667642,21.014945488082354,14.452038801824864,-1.3817011961931362
164,6,IN,1806539.411971831,18.0,2013.0,267.89080559859144,276.68502143814504,240.6770473945404,267.1563180950322,248.58490001421927,268.20223533511313,269.6023506568367,-10.94353647059715,20.456190109866757,13.303123506571364,0.9256265123633641
165,6,KS,2007457.0904977375,20.0,2013.0,268.51358479638003,275.8808931527,239.7861556960369,263.6884861785475,246.7715555147178,263.90997745356316,269.68253572756186,-10.891816395900538,19.871817394020354,13.37515700228894,-0.05617635437836299
166,6,KY,2102958.7192982454,21.0,2013.0,259.8226708771931,275.9050002249032,239.9535150665113,261.84937146126083,245.5777792325476,257.7386890411352,260.90943021369344,-11.159795418104055,19.422835509447747,13.247884833526866,-4.165742675745337
167,6,LA,2200928.3561643837,22.0,2013.0,249.83450904109586,276.4642512573195,240.25564450962065,251.3992226148832,246.79765072495715,248.7320897614529,260.3098907930899,-11.764186766424139,18.09759438470441,13.369909500014158,-3.0067996132344255
168,6,MA,2507160.2217898834,25.0,2013.0,279.04830494163406,281.0232878040717,241.39898617861147,278.3195029316011,247.533391329524,276.46251102307497,280.3066361209462,-12.888638482856074,20.07034475954725,14.49824793775923,-2.353578794480367
169,6,MD,2400361.08,24.0,2013.0,266.4738884000001,285.09040707187893,250.0093441226974,268.69356039999997,256.8030818116875,264.27889160000007,274.0700267308318,-13.301968341282294,24.543125981467373,15.343477809204128,-4.4146685897756
170,6,ME,2311254.9056603773,23.0,2013.0,265.8035888679244,275.5066870233344,238.79676647118634,264.7570803152971,244.31906133147078,264.49250627032393,266.43202009433975,-10.744183550995293,20.481331727728737,14.090243479548754,-0.2602143592628947
