,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
59,4,DE,1000796.6666666666,10.0,2013.0,223.00574,251.52811166666672,212.245885,225.66479666666672,214.47282999999996,220.59496733333333,232.57373466666667,-16.631085783333333,20.35929002857143,19.243325674999998,-5.069829291999999
60,4,FL,1201062.5857142857,12.0,2013.0,224.24732999999992,245.50456560000003,207.49397,226.5902555072464,219.7002186842105,221.92549739130433,230.5958661538462,-10.073685275999999,25.156355739024388,12.793710268027025,-4.664757994492755
61,4,GA,1302861.7932960894,13.0,2013.0,214.28980279329605,240.4705718181818,200.24551595890418,218.62861029239755,210.99928872093025,211.44356195402307,226.09243686746981,-5.402951942272727,25.288098824444443,18.091693419488372,-7.091756800678361
62,4,HI,1500030.0,15.0,2013.0,213.60001,210.4912,210.40662000000003,219.06779,214.07315,208.30794,231.41269,20.921494,21.006073,17.339539000000002,-10.759857
63,4,IA,1916391.8936877076,19.0,2013.0,224.15488710963461,226.84842181818178,194.19628785714283,227.01096221674888,202.78233586206898,222.0048776497698,226.22359904109584,5.7279635454545454,34.59719414285714,22.671856439285712,-5.226897713259461
64,4,ID,1601670.6785714286,16.0,2013.0,213.26711630952377,218.5448933333333,196.708525,217.2366109375,196.03161194444445,212.23495772727273,219.916822027027,7.124542233333334,31.280266,24.83324065882353,-4.0420646094127
65,4,IL,1721627.0634441087,17.0,2013.0,220.73361993957693,242.64837419354836,200.9615545967741,225.24760512059387,208.9049558100558,217.38904966666672,225.17031360330577,-5.197647333620968,25.420725542352937,19.615120286448427,-7.7236496581352965
66,4,IN,1806490.222614841,18.0,2013.0,224.69745081272075,233.8395223076923,209.5682443902439,229.0960846886447,212.77423959459458,221.2567370220588,226.6265969534051,3.2324406053846158,19.553153430769232,16.215615365555557,-7.778114194589553
67,4,KS,2007333.6587677726,20.0,2013.0,225.888054407583,,209.3161,227.3506554411765,211.90155620689654,223.09187943661968,227.50245082474254,,19.070038920000002,13.347322772857142,-3.5801534497599987
68,4,KY,2102958.7192982454,21.0,2013.0,221.05623362573098,231.05909200000002,200.37617468749994,223.4498174999999,213.8406760869565,219.04087017964065,222.46018313609466,-2.01275318,25.415853512499993,13.983608681739131,-4.508662982147239
