stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
NC,5.5,3702454.286956522,37.0,2013.0,256.4664289565217,276.52672456921465,241.86832788635832,257.55683480095564,249.58380643893148,255.4195975702146,263.4547032132537,-10.876281501635772,20.91918268105243,12.522395768328971,-2.0786992314578576
ND,5.5,3808349.380510962,38.0,2013.0,260.85955178591183,275.08925857877585,239.1164426291668,257.97981321182345,244.60293938308806,258.0331590368797,264.22592454992815,-10.30289092143891,20.222159545348262,14.073161378995438,-0.14232213428918025
NE,5.5,3137788.6544707604,31.0,2013.0,259.23503872378757,275.47367631360675,239.00099013097744,257.7732228823728,244.3387382489028,258.0282691391222,262.42080597860365,-10.830962876541356,20.231762360172123,14.312890607846734,0.13193487935540335
NH,5.5,3304105.4809523933,33.0,2013.0,269.79249929643004,275.5370969695009,238.95883222772207,267.06223562155174,244.6257347467017,266.2847950420585,269.9274043624466,-10.824878297775788,20.112911471219544,13.94176027866063,-0.7279943971473997
NJ,5.5,3409518.7133387695,34.0,2013.0,266.69326472236645,280.00058247715947,241.34062106151114,265.71847147642995,248.39151325448248,266.26732602201525,269.4466064364829,-13.219452117153082,19.874289477374486,13.717403772084033,0.5705583611626113
NM,5.5,3501364.6332349232,35.0,2013.0,244.44566053044846,275.71623209810724,239.1735084464971,248.83831788970235,242.96236333560333,246.6264607663013,258.5428632840671,-11.03318524010013,20.01089946601741,13.381908225244507,-1.7680855778715516
NV,5.5,3200282.3333333335,32.0,2013.0,247.77182644444443,274.5492267131146,238.7108052139985,249.5350334430622,243.53502878419786,248.80075677202464,253.27788353217292,-10.09567130742636,20.79002655478546,12.252549144583973,-1.071243504016555
NY,5.5,3616624.488779863,36.0,2013.0,255.95520829812676,276.173252436314,239.1156205425497,256.6369247200949,244.96949720583973,256.3363463755905,257.99352939984254,-11.188233439095297,19.76509846753146,13.971085382250491,-0.203115580966256
OH,5.5,3904989.3550450504,39.0,2013.0,263.4250318152043,276.12761254175433,239.69716575392445,263.53660330447786,244.79814937060917,262.9759066819416,265.2025182169571,-11.042689500261728,20.234138243584074,13.84003165346608,-0.47123254825845895
OK,5.0,4017681.7649613046,40.0,2013.0,246.36152159108104,275.18588074423315,238.4471396836709,250.40560339726989,243.51361847729396,250.71567842171416,252.76405910559356,-10.849124919824835,19.90316658521546,13.51986051949288,0.5063612139386089
OR,5.5,4106797.440185355,41.0,2013.0,250.70470765727342,275.2107772847025,238.74856490960033,251.91602219019003,242.9619853425345,252.59825445734157,254.44289254618772,-10.636148449830428,20.35494385921989,14.796022806356,0.38912703072703775
PA,5.5,4214617.338390378,42.0,2013.0,262.20619697342426,277.00955303773134,240.22665668692846,262.3429568600728,245.11219347407527,262.0635469450063,264.2269046946403,-11.482482428168021,19.88149112194111,14.317876170227583,-0.3277466736731072
RI,5.5,4400609.403594771,44.0,2013.0,262.8831739809863,274.0095508803157,239.17288663496916,262.87501340665136,244.23314161872187,261.86292805532315,265.50729715415105,-10.090327041116659,18.911331700571814,13.621120014320502,-0.5710076737003084
SC,5.5,4502354.056518758,45.0,2013.0,247.4589302791127,276.3799976358505,236.61490208205737,248.71140734175867,245.37422924281327,246.00091311227206,258.03369361840856,-11.298137903613894,20.183493392559644,13.881766345133563,-2.5939704325480637
SD,5.5,4637803.54651098,46.0,2013.0,257.883159429679,274.8509103890512,238.84557389550568,257.2521031179389,244.3104984367737,256.4738566210932,262.0736959933731,-10.213774934406109,20.19710526685108,13.972889811362627,-0.7508892200322315
TN,5.5,4702328.586113828,47.0,2013.0,253.3389749935327,275.67865330494334,240.32486997647334,254.7244430835723,245.1261450629929,252.05537655797892,255.63562571649712,-11.222102310635409,19.009390684997715,12.834926826885967,-2.5968690269639203
TX,4.5,4826538.0391967725,48.0,2013.0,244.95351798622994,275.14824572092823,237.7409403863495,247.48261613631252,241.98831455793265,247.13187648573853,253.3897971861445,-11.097588293056743,19.669427936624597,12.105764215917404,-0.23105310923702943
UT,5.0,4900605.722820513,49.0,2013.0,252.72510248846157,268.38089299146196,237.4889387355907,252.30268005210564,239.015892645488,253.67443023220304,257.18700967478554,-5.054028945804925,21.328817421004565,18.786860361665838,1.175780166164812
VA,3.5,5102122.687022901,51.0,2013.0,236.34975561068694,271.61524998338245,229.96457790051238,236.55676216156377,240.33176528040767,236.68233672413757,242.34581838231432,-9.91734253299244,18.73385285062026,13.125408265554746,0.12385713059470058
VT,5.5,5006388.24107339,50.0,2013.0,264.36013104351315,275.4826574823487,238.8275252469532,262.9394927493416,244.40147705843734,261.5073293932058,265.04956872996314,-10.758787187974166,20.292651469754468,13.859259446020658,-0.9790672711290918
WA,5.5,5305072.917037816,53.0,2013.0,257.15554334922774,275.5499053227693,239.87894571290053,258.8091353808093,246.4205072597889,257.03276792646307,262.2554465077348,-10.019909291939603,20.351109681522296,14.947654264315615,-1.3069006874751956
WI,5.5,5508403.926256731,55.0,2013.0,262.21640643443743,275.0556544271731,239.05108664008762,261.23229043815644,244.80223250437473,262.00320385979904,264.1356998846533,-9.960684550635376,20.699850493303284,14.331566577370557,0.6959799452010578
WV,5.5,5400839.614772727,54.0,2013.0,248.9622268997715,276.0576113826149,239.24932707393373,249.94577284194324,244.53717370080415,248.31394357523672,249.2577406783109,-11.674788989752933,18.339885245920808,13.60196178027797,-1.4695389734902136
